Channels,Facebook Duration,Instagram Duration,Linkedin Duration,Reels Duration,Shorts Duration,X Duration,Youtube Duration,Threads Duration
A,03:24:17,01:50:43,04:58:00,01:14:04,05:06:03,03:09:12,03:08:42,04:13:45
B,05:44:35,03:38:04,04:20:31,02:01:37,03:46:21,02:13:03,05:19:29,02:13:43
C,01:43:20,03:24:38,00:07:59,04:14:37,00:15:12,04:47:34,02:59:48,05:54:16
D,00:14:52,03:33:16,02:56:53,01:00:04,01:34:28,00:47:20,00:00:29,04:31:16
E,00:51:20,04:55:00,02:15:03,05:40:03,01:27:11,00:03:37,04:36:06,00:05:40
F,03:17:04,05:46:07,01:56:36,01:04:57,02:29:15,03:32:58,00:34:13,03:53:17
G,01:58:36,05:56:34,00:05:46,00:55:21,00:28:51,04:10:03,04:16:08,00:00:21
H,05:20:13,02:49:41,03:52:04,00:32:15,04:06:03,04:05:54,02:56:04,01:40:16
I,05:31:25,02:07:18,04:49:08,02:42:31,05:34:53,01:04:38,01:23:18,01:47:28
J,05:29:09,03:10:29,01:42:30,01:34:08,00:05:59,00:43:55,01:28:53,04:45:27
K,02:08:15,00:46:56,04:10:16,05:59:56,01:10:26,01:25:07,04:45:19,04:00:07
L,05:35:34,05:16:32,04:55:38,04:36:30,03:30:13,04:15:37,04:51:41,00:56:44
M,02:47:37,01:32:58,03:13:59,01:50:30,03:57:03,04:02:39,04:00:42,01:34:02
N,03:57:37,00:55:40,04:48:46,03:12:06,01:24:00,00:26:42,04:19:59,02:37:35
O,03:23:14,02:53:40,05:12:45,00:42:27,03:16:59,04:36:33,05:06:56,01:27:08
P,01:32:31,04:38:12,02:25:42,02:27:26,03:18:27,02:59:16,01:16:07,00:19:23
Q,00:48:03,01:23:48,05:23:28,03:55:46,05:46:50,01:42:45,00:47:35,00:57:22
R,00:09:40,01:34:49,04:28:07,00:43:41,04:42:45,02:15:16,01:17:18,01:43:15
