Month,Total Uploaded Duration,Total Created Duration,Total Published Duration
"Apr, 2025",59:36:39,82:45:31,05:11:12
"Aug, 2025",24:21:01,57:50:01,01:47:30
"Dec, 2025",31:54:20,11:18:14,02:46:37
"Feb, 2026",46:31:13,207:44:15,04:38:18
"Jan, 2026",45:51:16,78:42:37,00:53:12
"Jul, 2025",21:17:56,47:30:35,02:14:23
"Jun, 2025",38:44:56,67:22:27,01:19:00
"Mar, 2025",35:35:00,140:21:22,05:34:08
"May, 2025",33:12:05,58:17:19,02:02:03
"Nov, 2025",15:46:26,32:14:07,04:18:44
"Oct, 2025",31:35:48,92:12:20,01:40:55
"Sep, 2025",15:44:30,07:47:34,03:06:55
