channel_name,facebook_count,instagram_count,linkedin_count,youtube_count,x_count,shorts_count,reels_count,threads_count
A,15,7,0,43,8,5,26,10
B,6,13,9,13,1,23,13,4
C,14,11,2,45,3,22,13,7
D,10,9,7,7,1,9,11,2
E,0,12,5,54,4,15,0,6
F,4,14,6,36,2,10,0,1
G,12,7,1,18,9,31,11,2
H,13,9,5,27,1,5,19,1
I,8,2,7,45,8,23,20,4
J,16,2,7,40,4,32,14,6
K,14,4,3,29,9,11,3,10
L,6,15,5,6,4,26,6,9
M,11,16,4,58,0,17,15,10
N,5,5,8,57,5,12,2,10
O,15,15,7,25,6,29,6,10
P,4,1,1,39,0,12,28,9
Q,8,14,6,45,8,33,23,0
R,13,17,6,53,7,35,21,9
