channel_name,uploaded_count,created_count,published_count,uploaded_duration,created_duration,published_duration
A,18,2939,16,03:36:18,390:13:40,03:07:29
B,1249,7096,49,240:30:28,108:16:42,05:19:44
C,2928,5765,36,87:11:03,20:10:15,03:17:32
D,1616,1031,117,08:55:30,11:35:04,04:31:28
E,2222,562,79,03:52:04,10:00:26,00:38:02
F,1245,340,10,12:31:04,14:44:38,03:47:20
G,1638,4567,133,18:40:43,30:18:02,04:16:01
H,53,7862,122,00:09:09,07:18:45,00:14:43
I,2742,2296,34,12:36:19,09:44:55,04:37:01
J,2910,234,32,01:15:07,07:04:43,05:52:17
K,1426,5202,17,04:48:26,01:59:16,04:02:48
L,2396,9308,12,09:38:50,06:27:07,01:30:33
M,442,1291,89,04:14:49,04:14:41,05:28:58
N,2880,4727,109,04:24:28,01:58:17,02:11:37
O,579,8720,0,03:19:55,01:04:03,03:40:52
P,281,2939,62,04:27:19,01:50:19,03:05:30
Q,2407,5435,33,04:39:03,04:47:52,02:26:21
R,822,6981,102,04:47:06,04:58:18,02:42:06
