input_type_name,uploaded_count,created_count,published_count,uploaded_duration,created_duration,published_duration
interview,860,1685,58,163:07:01,81:44:27,05:04:02
news bulletin,1294,769,41,70:15:14,174:17:09,05:14:49
special reports,1130,6949,59,35:47:06,55:48:21,02:05:54
speech,1095,2433,14,22:37:27,26:05:24,01:55:06
debate,1638,5311,61,04:01:05,12:22:54,03:17:29
press conference,2169,5051,61,13:14:32,44:38:16,05:53:23
discussion-show,466,6420,46,04:01:35,12:02:46,01:23:22
sports show,1238,1184,61,01:45:41,03:34:07,01:42:17
Unknown,330,4555,50,05:34:26,03:05:35,05:59:43
podcast,1482,3385,54,01:28:37,02:53:40,05:04:38
drama,2135,6396,63,02:51:55,04:56:55,05:10:34
in-brief,130,8666,2,00:48:51,02:36:12,05:15:10
