month_label,monthly_uploaded,monthly_created,monthly_published,uploaded_duration,created_duration,published_duration
"Apr, 2025",408,3378,9,59:36:39,82:45:31,05:11:12
"Aug, 2025",111,392,5,24:21:01,57:50:01,01:47:30
"Dec, 2025",596,4541,61,31:54:20,11:18:14,02:46:37
"Feb, 2026",650,341,4,46:31:13,207:44:15,04:38:18
"Jan, 2026",1062,132,69,45:51:16,78:42:37,00:53:12
"Jul, 2025",104,264,62,21:17:56,47:30:35,02:14:23
"Jun, 2025",323,4188,55,38:44:56,67:22:27,01:19:00
"Mar, 2025",991,1685,58,35:35:00,140:21:22,05:34:08
"May, 2025",428,1434,62,33:12:05,58:17:19,02:02:03
"Nov, 2025",634,1660,88,15:46:26,32:14:07,04:18:44
"Oct, 2025",729,3817,58,31:35:48,92:12:20,01:40:55
"Sep, 2025",888,2354,50,15:44:30,07:47:34,03:06:55
